,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
0,The Shawshank Redemption,(1994),R,142 min,Drama            ,9.3,82        ,"2,739,947",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,(1972),R,175 min,"Crime, Drama            ",9.2,100        ,"1,905,340",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,The Chaos Class,(1975),,87 min,"Comedy, Drama            ",9.2,,"41,669",,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
3,The Dark Knight,(2008),PG-13,152 min,"Action, Crime, Drama            ",9.0,84        ,"2,712,903",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,Schindler's List,(1993),R,195 min,"Biography, Drama, History            ",9.0,95        ,"1,382,795",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
5,The Godfather Part II,(1974),R,202 min,"Crime, Drama            ",9.0,90        ,"1,298,588",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
6,12 Angry Men,(1957),Approved,96 min,"Crime, Drama            ",9.0,97        ,"811,018",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
7,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama            ",9.0,94        ,"1,883,925",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Mirror Game,(2016),,147 min,"Crime, Mystery, Thriller            ",9.0,,"27,526",,Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
9,Daman,(2022),,121 min,"Adventure, Drama            ",9.0,,"13,216",,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication."
10,Pulp Fiction,(1994),R,154 min,"Crime, Drama            ",8.9,95        ,"2,105,477",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
11,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,(2021),,87 min,"Animation, Action, Fantasy            ",8.9,,"18,084",,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.
12,Tosun Pasa,(1976),,90 min,Comedy            ,8.9,,"23,874",,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                See full summary »"
13,The Chaos Class Failed the Class,(1975),,91 min,Comedy            ,8.9,,"23,920",,A young and beautiful female teacher starts working in an all boys high school.
14,Inception,(2010),PG-13,148 min,"Action, Adventure, Sci-Fi            ",8.8,74        ,"2,408,172",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
15,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"Action, Adventure, Drama            ",8.8,92        ,"1,912,679",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
16,Fight Club,(1999),R,139 min,Drama            ,8.8,66        ,"2,181,782",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
17,Forrest Gump,(1994),PG-13,142 min,"Drama, Romance            ",8.8,82        ,"2,131,963",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
18,"The Good, the Bad and the Ugly",(1966),Approved,178 min,"Adventure, Western            ",8.8,90        ,"775,973",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
19,The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama            ",8.8,87        ,"1,700,564",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
20,Jai Bhim,(2021),TV-MA,164 min,"Crime, Drama, Mystery            ",8.8,,"206,457",,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
21,Kill Bill: The Whole Bloody Affair,(2006),Not Rated,247 min,"Action, Crime, Thriller            ",8.8,,"14,020",,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer."
22,777 Charlie,(2022),,164 min,"Adventure, Comedy, Drama            ",8.8,,"34,648",,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
