,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
550,Shoplifters,(2018),R,121 min,"Crime, Drama, Thriller            ",7.9,93        ,"80,484",$3.31M,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence."
551,The Manchurian Candidate,(1962),PG-13,126 min,"Drama, Thriller            ",7.9,94        ,"77,198",,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
552,Notorious,(1946),Not Rated,102 min,"Drama, Film-Noir, Romance            ",7.9,100        ,"103,535",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
553,Arsenic and Old Lace,(1944),Not Rated,118 min,"Comedy, Crime, Thriller            ",7.9,,"72,621",,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
554,A Taxi Driver,(2017),Not Rated,137 min,"Action, Drama, History            ",7.9,69        ,"27,230",$1.53M,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
555,Short Term 12,(2013),R,96 min,Drama            ,7.9,82        ,"89,492",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
556,Patton,(1970),GP,172 min,"Biography, Drama, War            ",7.9,86        ,"104,891",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
557,The Big Sleep,(1946),Passed,114 min,"Crime, Film-Noir, Mystery            ",7.9,86        ,"87,884",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
558,Amour,(2012),PG-13,127 min,Drama            ,7.9,95        ,"102,794",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
559,The Adventures of Robin Hood,(1938),PG,102 min,"Action, Adventure, Romance            ",7.9,97        ,"52,752",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
560,The Conformist,(1970),R,113 min,Drama            ,7.9,100        ,"31,978",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
561,Talk to Her,(2002),R,112 min,"Drama, Mystery, Romance            ",7.9,86        ,"114,823",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.
562,The Philadelphia Story,(1940),Not Rated,112 min,"Comedy, Romance            ",7.9,96        ,"71,374",,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
563,Laura,(1944),Passed,88 min,"Drama, Film-Noir, Mystery            ",7.9,,"49,050",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
564,Head-On,(2004),R,121 min,"Drama, Romance            ",7.9,78        ,"55,782",,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
565,My Name Is Khan,(2010),PG-13,165 min,"Adventure, Drama, Romance            ",7.9,50        ,"110,711",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
566,Kal Ho Naa Ho,(2003),Not Rated,186 min,"Comedy, Drama, Musical            ",7.9,54        ,"71,802",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
