,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
0,The Shawshank Redemption,(1994),R,142 min,Drama            ,9.3,82        ,"2,739,947",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,(1972),R,175 min,"Crime, Drama            ",9.2,100        ,"1,905,340",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,The Dark Knight,(2008),PG-13,152 min,"Action, Crime, Drama            ",9.0,84        ,"2,712,903",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Schindler's List,(1993),R,195 min,"Biography, Drama, History            ",9.0,95        ,"1,382,795",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,The Godfather Part II,(1974),R,202 min,"Crime, Drama            ",9.0,90        ,"1,298,588",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,12 Angry Men,(1957),Approved,96 min,"Crime, Drama            ",9.0,97        ,"811,018",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama            ",9.0,94        ,"1,883,925",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,Pulp Fiction,(1994),R,154 min,"Crime, Drama            ",8.9,95        ,"2,105,477",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Inception,(2010),PG-13,148 min,"Action, Adventure, Sci-Fi            ",8.8,74        ,"2,408,172",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
9,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"Action, Adventure, Drama            ",8.8,92        ,"1,912,679",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
10,Fight Club,(1999),R,139 min,Drama            ,8.8,66        ,"2,181,782",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
11,Forrest Gump,(1994),PG-13,142 min,"Drama, Romance            ",8.8,82        ,"2,131,963",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
12,"The Good, the Bad and the Ugly",(1966),Approved,178 min,"Adventure, Western            ",8.8,90        ,"775,973",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
13,The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama            ",8.8,87        ,"1,700,564",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
14,Jai Bhim,(2021),TV-MA,164 min,"Crime, Drama, Mystery            ",8.8,,"206,457",,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
15,777 Charlie,(2022),,164 min,"Adventure, Comedy, Drama            ",8.8,,"34,648",,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
16,Rocketry: The Nambi Effect,(2022),,157 min,"Biography, Drama            ",8.8,,"53,144",,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
17,Goodfellas,(1990),R,145 min,"Biography, Crime, Drama            ",8.7,92        ,"1,189,139",$46.84M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
18,The Matrix,(1999),R,136 min,"Action, Sci-Fi            ",8.7,73        ,"1,954,215",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
19,One Flew Over the Cuckoo's Nest,(1975),R,133 min,Drama            ,8.7,84        ,"1,027,159",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
20,Star Wars: Episode V - The Empire Strikes Back,(1980),PG,124 min,"Action, Adventure, Fantasy            ",8.7,82        ,"1,318,795",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
21,Soorarai Pottru,(2020),TV-MA,153 min,"Action, Drama            ",8.7,,"119,347",,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
22,Interstellar,(2014),PG-13,169 min,"Adventure, Drama, Sci-Fi            ",8.6,74        ,"1,904,232",$188.02M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
23,The Green Mile,(1999),R,189 min,"Crime, Drama, Fantasy            ",8.6,61        ,"1,332,447",$136.80M,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
24,Star Wars: Episode IV - A New Hope,(1977),PG,121 min,"Action, Adventure, Fantasy            ",8.6,90        ,"1,391,328",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
25,Se7en,(1995),R,127 min,"Crime, Drama, Mystery            ",8.6,65        ,"1,694,080",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
26,The Silence of the Lambs,(1991),R,118 min,"Crime, Drama, Thriller            ",8.6,86        ,"1,464,909",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
27,Saving Private Ryan,(1998),R,169 min,"Drama, War            ",8.6,91        ,"1,420,909",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
28,Spirited Away,(2001),PG,125 min,"Animation, Adventure, Family            ",8.6,96        ,"787,727",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
29,City of God,(2002),R,130 min,"Crime, Drama            ",8.6,79        ,"769,793",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
30,Terminator 2: Judgment Day,(1991),R,137 min,"Action, Sci-Fi            ",8.6,75        ,"1,121,242",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
31,Life Is Beautiful,(1997),PG-13,116 min,"Comedy, Drama, Romance            ",8.6,59        ,"709,977",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
32,Seven Samurai,(1954),Not Rated,207 min,"Action, Drama            ",8.6,98        ,"352,301",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
33,It's a Wonderful Life,(1946),PG,130 min,"Drama, Family, Fantasy            ",8.6,89        ,"471,424",,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Harakiri,(1962),Not Rated,133 min,"Action, Drama, Mystery            ",8.6,85        ,"60,732",,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
35,Sita Ramam,(2022),,163 min,"Action, Drama, Mystery            ",8.6,,"59,465",,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
36,Léon: The Professional,(1994),R,110 min,"Action, Crime, Drama            ",8.5,64        ,"1,187,083",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
37,Parasite,(2019),R,132 min,"Drama, Thriller            ",8.5,96        ,"851,114",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
38,The Departed,(2006),R,151 min,"Crime, Drama, Thriller            ",8.5,85        ,"1,353,727",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
39,Gladiator,(2000),R,155 min,"Action, Adventure, Drama            ",8.5,67        ,"1,533,438",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
40,Whiplash,(2014),R,106 min,"Drama, Music            ",8.5,89        ,"901,561",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
41,Back to the Future,(1985),PG,116 min,"Adventure, Comedy, Sci-Fi            ",8.5,87        ,"1,235,993",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
42,Alien,(1979),R,117 min,"Horror, Sci-Fi            ",8.5,89        ,"901,798",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
43,The Prestige,(2006),PG-13,130 min,"Drama, Mystery, Sci-Fi            ",8.5,66        ,"1,362,006",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
44,The Lion King,(1994),G,88 min,"Animation, Adventure, Drama            ",8.5,88        ,"1,083,016",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
45,The Usual Suspects,(1995),R,106 min,"Crime, Drama, Mystery            ",8.5,77        ,"1,102,942",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a random police lineup."
46,Psycho,(1960),R,109 min,"Horror, Mystery, Thriller            ",8.5,97        ,"686,477",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
47,The Pianist,(2002),R,150 min,"Biography, Drama, Music            ",8.5,85        ,"854,200",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
48,American History X,(1998),R,119 min,"Crime, Drama            ",8.5,62        ,"1,141,730",$6.72M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
49,The Intouchables,(2011),R,112 min,"Biography, Comedy, Drama            ",8.5,57        ,"879,941",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
50,Casablanca,(1942),PG,102 min,"Drama, Romance, War            ",8.5,100        ,"582,648",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
51,Once Upon a Time in the West,(1968),PG-13,165 min,Western            ,8.5,82        ,"336,619",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
52,Grave of the Fireflies,(1988),Not Rated,89 min,"Animation, Drama, War            ",8.5,94        ,"286,593",,A young boy and his little sister struggle to survive in Japan during World War II.
53,Rear Window,(1954),PG,112 min,"Mystery, Thriller            ",8.5,100        ,"501,170",$36.76M,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
54,Cinema Paradiso,(1988),R,155 min,"Drama, Romance            ",8.5,80        ,"267,947",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
55,Modern Times,(1936),G,87 min,"Comedy, Drama, Romance            ",8.5,96        ,"247,934",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
56,City Lights,(1931),G,87 min,"Comedy, Drama, Romance            ",8.5,99        ,"188,310",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
57,96,(II) (2018),Not Rated,158 min,"Drama, Romance            ",8.5,,"33,075",,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
58,Avengers: Endgame,(2019),PG-13,181 min,"Action, Adventure, Drama            ",8.4,78        ,"1,175,988",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
59,Spider-Man: Into the Spider-Verse,(2018),PG,117 min,"Animation, Action, Adventure            ",8.4,87        ,"561,097",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
60,Avengers: Infinity War,(2018),PG-13,149 min,"Action, Adventure, Sci-Fi            ",8.4,68        ,"1,119,638",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
61,Joker,(I) (2019),R,122 min,"Crime, Drama, Thriller            ",8.4,59        ,"1,349,731",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
62,Oldboy,(2003),R,120 min,"Action, Drama, Mystery            ",8.4,77        ,"595,022",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
63,Django Unchained,(2012),R,165 min,"Drama, Western            ",8.4,81        ,"1,596,042",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
64,Indiana Jones and the Raiders of the Lost Ark,(1981),PG,115 min,"Action, Adventure            ",8.4,85        ,"984,540",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
65,Apocalypse Now,(1979),R,147 min,"Drama, Mystery, War            ",8.4,94        ,"681,160",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
66,The Shining,(1980),R,146 min,"Drama, Horror            ",8.4,66        ,"1,047,061",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
67,Come and See,(1985),Not Rated,142 min,"Drama, Thriller, War            ",8.4,,"85,482",,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
68,The Dark Knight Rises,(2012),PG-13,164 min,"Action, Drama, Thriller            ",8.4,78        ,"1,738,652",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
69,Aliens,(1986),R,137 min,"Action, Adventure, Sci-Fi            ",8.4,84        ,"731,490",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
70,Memento,(2000),R,113 min,"Mystery, Thriller            ",8.4,81        ,"1,261,555",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
71,Your Name.,(2016),PG,106 min,"Animation, Drama, Fantasy            ",8.4,79        ,"285,378",$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
72,Capernaum,(2018),R,126 min,Drama            ,8.4,75        ,"94,873",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
73,Braveheart,(1995),R,178 min,"Biography, Drama, History            ",8.4,68        ,"1,054,434",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
74,Coco,(I) (2017),PG,105 min,"Animation, Adventure, Comedy            ",8.4,81        ,"532,117",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
75,WALL·E,(2008),G,98 min,"Animation, Adventure, Family            ",8.4,95        ,"1,140,689",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
76,Amadeus,(1984),R,160 min,"Biography, Drama, Music            ",8.4,88        ,"409,173",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
77,The Lives of Others,(2006),R,137 min,"Drama, Mystery, Thriller            ",8.4,89        ,"396,209",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),PG,95 min,"Comedy, War            ",8.4,97        ,"499,757",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
79,Sunset Blvd.,(1950),Passed,110 min,"Drama, Film-Noir            ",8.4,94        ,"226,556",,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
80,Das Boot,(1981),R,149 min,"Drama, War            ",8.4,86        ,"255,343",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
81,3 Idiots,(2009),PG-13,170 min,"Comedy, Drama            ",8.4,67        ,"410,157",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
82,Paths of Glory,(1957),Approved,88 min,"Drama, War            ",8.4,90        ,"201,927",,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
83,Witness for the Prosecution,(1957),Approved,116 min,"Crime, Drama, Mystery            ",8.4,76        ,"129,274",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
84,The Great Dictator,(1940),G,125 min,"Comedy, Drama, War            ",8.4,,"228,377",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
85,Kaithi,(2019),Not Rated,145 min,"Action, Adventure, Crime            ",8.4,,"35,922",,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
86,High and Low,(1963),Not Rated,143 min,"Crime, Drama, Mystery            ",8.4,90        ,"47,659",,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
87,Sardar Udham,(2021),TV-MA,164 min,"Biography, Crime, Drama            ",8.4,,"44,042",,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
88,Asuran,(2019),Not Rated,141 min,"Action, Drama            ",8.4,,"31,116",,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
89,Drishyam 2,(2021),,152 min,"Crime, Drama, Thriller            ",8.4,,"38,941",,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
90,Guardians of the Galaxy Vol. 3,(2023),PG-13,150 min,"Action, Adventure, Comedy            ",8.3,64        ,"112,664",,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
91,Heat,(1995),R,170 min,"Action, Crime, Drama            ",8.3,76        ,"673,306",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
92,Top Gun: Maverick,(2022),PG-13,130 min,"Action, Drama            ",8.3,78        ,"583,739",$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
93,Good Will Hunting,(1997),R,126 min,"Drama, Romance            ",8.3,70        ,"1,001,475",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
94,Inglourious Basterds,(2009),R,153 min,"Adventure, Drama, War            ",8.3,69        ,"1,488,719",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
95,Star Wars: Episode VI - Return of the Jedi,(1983),PG,131 min,"Action, Adventure, Fantasy            ",8.3,58        ,"1,075,734",$309.13M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
96,Requiem for a Dream,(2000),R,102 min,Drama            ,8.3,71        ,"860,325",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
97,American Beauty,(1999),R,122 min,Drama            ,8.3,84        ,"1,172,306",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
98,Scarface,(1983),R,170 min,"Crime, Drama            ",8.3,65        ,"864,257",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
99,Eternal Sunshine of the Spotless Mind,(2004),R,108 min,"Drama, Romance, Sci-Fi            ",8.3,89        ,"1,029,674",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
100,A Clockwork Orange,(1971),R,136 min,"Crime, Sci-Fi            ",8.3,77        ,"846,646",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
101,2001: A Space Odyssey,(1968),G,149 min,"Adventure, Sci-Fi            ",8.3,84        ,"684,193",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
102,Full Metal Jacket,(1987),R,116 min,"Drama, War            ",8.3,78        ,"757,487",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
103,Reservoir Dogs,(1992),R,99 min,"Crime, Thriller            ",8.3,81        ,"1,041,219",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
104,The Hunt,(2012),R,115 min,Drama            ,8.3,77        ,"340,647",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
105,Hamilton,(2020),PG-13,160 min,"Biography, Drama, History            ",8.3,89        ,"100,971",,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
106,Once Upon a Time in America,(1984),R,229 min,"Crime, Drama            ",8.3,75        ,"359,671",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
107,Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy            ",8.3,96        ,"1,016,074",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
108,Incendies,(2010),R,131 min,"Drama, Mystery            ",8.3,80        ,"183,473",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
109,Singin' in the Rain,(1952),G,103 min,"Comedy, Musical, Romance            ",8.3,99        ,"248,535",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
110,Up,(2009),PG,96 min,"Animation, Adventure, Comedy            ",8.3,88        ,"1,067,343",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
111,To Kill a Mockingbird,(1962),Approved,129 min,"Crime, Drama            ",8.3,88        ,"321,834",,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
112,Amélie,(2001),R,122 min,"Comedy, Romance            ",8.3,69        ,"768,813",$33.23M,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
113,Vertigo,(1958),PG,128 min,"Mystery, Romance, Thriller            ",8.3,100        ,"410,354",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
114,Lawrence of Arabia,(1962),Approved,218 min,"Adventure, Biography, Drama            ",8.3,100        ,"300,633",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
115,Citizen Kane,(1941),PG,119 min,"Drama, Mystery            ",8.3,100        ,"450,073",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
116,Princess Mononoke,(1997),PG-13,134 min,"Animation, Action, Adventure            ",8.3,76        ,"405,876",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
117,Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy            ",8.3,92        ,"853,549",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
118,Metropolis,(1927),Not Rated,153 min,"Drama, Sci-Fi            ",8.3,98        ,"178,043",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
119,North by Northwest,(1959),Approved,136 min,"Action, Adventure, Mystery            ",8.3,98        ,"334,147",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
120,The Sting,(1973),PG,129 min,"Comedy, Crime, Drama            ",8.3,83        ,"269,194",$159.60M,Two grifters team up to pull off the ultimate con.
121,A Separation,(2011),PG-13,123 min,Drama            ,8.3,95        ,"249,190",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
122,M,(1931),Passed,99 min,"Crime, Mystery, Thriller            ",8.3,,"161,490",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
123,Ikiru,(1952),Not Rated,143 min,Drama            ,8.3,92        ,"81,627",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
124,The Apartment,(1960),Approved,125 min,"Comedy, Drama, Romance            ",8.3,94        ,"186,302",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
125,Double Indemnity,(1944),Passed,107 min,"Crime, Drama, Film-Noir            ",8.3,95        ,"160,617",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
126,Judgment at Nuremberg,(1961),Approved,179 min,"Drama, War            ",8.3,60        ,"79,802",,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
