,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
355,Sòng Bạc Hoàng Gia,(2006),144 min,8.0,80        ,"669,349",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
356,Gia Đình Siêu Nhân,(2004),115 min,8.0,90        ,"758,028",$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
357,Thành Phố Tội Ác,(2005),124 min,8.0,74        ,"777,985",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
358,Khiêu Vũ Với Bầy Sói,(1990),181 min,8.0,72        ,"275,236",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
359,Giai Điệu Con Tim,(2021),111 min,8.0,72        ,"144,604",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
360,Hương Đàn Bà,(1992),156 min,8.0,59        ,"308,405",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
361,Ngày Chuột Chũi,(1993),101 min,8.0,72        ,"648,438",$70.91M,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
362,Người Về Từ Cõi Chết,(2015),156 min,8.0,76        ,"825,006",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
363,Người Giải Mã,(2014),114 min,8.0,71        ,"786,757",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
364,Người Đàn Ông Trong Mưa,(1988),133 min,8.0,65        ,"525,354",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
365,Sinh Viên Tốt Nghiệp,(1967),106 min,8.0,83        ,"279,227",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
366,Hành Tinh Khỉ,(1968),112 min,8.0,79        ,"184,737",$33.40M,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
367,12 Con Khỉ,(1995),129 min,8.0,74        ,"628,058",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
368,Aladdin,(1992),90 min,8.0,86        ,"434,324",$217.35M,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
369,Siêu Điệp Viên 3: Tối Hậu Thư Của Bourne,(2007),115 min,8.0,85        ,"642,970",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
370,Cuộc Sống Nhiệm Màu,(2020),100 min,8.0,83        ,"343,335",%^%^%^,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
371,Buổi Chiều Xui Xẻo,(1975),125 min,8.0,86        ,"262,977",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
372,Cá Lớn,(2003),125 min,8.0,58        ,"447,388",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
373,Người Đẹp Và Quái Vật,(1991),84 min,8.0,95        ,"463,065",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
374,Kim Cương Máu,(2006),143 min,8.0,64        ,"562,128",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
375,Mưu Cầu Hạnh Phúc,(2006),117 min,8.0,64        ,"528,592",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
376,Hương Mộc Lan,(1999),188 min,8.0,78        ,"318,686",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
377,Cô Dâu Báo Thù 2,(2004),137 min,8.0,83        ,"771,795",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
378,Triệu Phú Ổ Chuột,(2008),120 min,8.0,84        ,"857,264",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
