,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Nhà tù Shawshank,(1994),142 min,9.3,82        ,"2,734,583",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,Bố Già,(1972),175 min,9.2,100        ,"1,901,559",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
2,Kỵ Sĩ Bóng Đêm,(2008),152 min,9.0,84        ,"2,707,703",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Bản Danh Sách Của Schindler,(1993),195 min,9.0,95        ,"1,380,530",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,(2003),201 min,9.0,94        ,"1,880,968",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
5,12 Người Đàn Ông Giận Dữ,(1957),96 min,9.0,97        ,"809,269",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,Bố Già Phần II,(1974),202 min,9.0,90        ,"1,296,339",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
7,Chuyện Tào Lao,(1994),154 min,8.9,95        ,"2,101,381",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Kẻ Đánh Cắp Giấc Mơ,(2010),148 min,8.8,74        ,"2,403,552",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
9,Sàn Đấu Sinh Tử,(1999),139 min,8.8,66        ,"2,177,168",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
10,Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,(2001),178 min,8.8,92        ,"1,909,818",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Cuộc Đời Forrest Gump,(1994),142 min,8.8,82        ,"2,127,917",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
12,"Thiện, Ác, Tà",(1966),161 min,8.8,90        ,"774,852",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
13,Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,(2002),179 min,8.8,87        ,"1,698,006",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
14,Jai Bhim,(2021),164 min,8.8,****,"206,113",#237,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
15,777 Charlie,(2022),164 min,8.8,****,"34,478",%^%^%^,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
16,Rocketry: The Nambi Effect,(2022),157 min,8.8,****,"52,829",%^%^%^,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
17,Ma Trận,(1999),136 min,8.7,73        ,"1,950,859",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
18,Chiến Hữu,(1990),145 min,8.7,92        ,"1,186,962",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
19,Bay Trên Tổ Chim Cúc Cu,(1975),133 min,8.7,84        ,"1,025,566",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
20,Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,(1980),124 min,8.7,82        ,"1,316,364",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
21,Soorarai Pottru,(2020),153 min,8.7,****,"119,212",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
22,Hố Đen Tử Thần,(2014),169 min,8.6,74        ,"1,898,333",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
23,Sự Im Lặng Của Bầy Cừu,(1991),118 min,8.6,86        ,"1,462,246",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
24,7 Tội Lỗi Chết Người,(1995),127 min,8.6,65        ,"1,690,621",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
25,Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,(1977),121 min,8.6,90        ,"1,388,789",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
26,Dặm Xanh,(1999),189 min,8.6,61        ,"1,329,775",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
27,Vùng Đất Linh Hồn,(2001),125 min,8.6,96        ,"785,686",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
28,Giải Cứu Binh Nhì Ryan,(1998),169 min,8.6,91        ,"1,418,601",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
29,Kẻ Hủy Diệt 2: Ngày Phán Xét,(1991),137 min,8.6,75        ,"1,119,471",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
30,Thành Phố Của Chúa,(2002),130 min,8.6,79        ,"768,705",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
31,Cuộc Sống Tươi Đẹp,(1997),116 min,8.6,59        ,"708,886",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
32,Bảy Võ Sĩ Đạo,(1954),207 min,8.6,98        ,"351,785",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
33,Cuộc Sống Tươi Đẹp,(1946),130 min,8.6,89        ,"470,745",#20,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Seppuku,(1962),133 min,8.6,85        ,"60,499",#45,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
35,Sita Ramam,(2022),163 min,8.6,****,"59,023",%^%^%^,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
36,Quái Vật Không Gian,(1979),117 min,8.5,89        ,"900,251",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
37,Tay Trống Cự Phách,(2014),106 min,8.5,89        ,"898,616",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
38,Võ Sĩ Giác Đấu,(2000),155 min,8.5,67        ,"1,530,560",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
39,Ký Sinh Trùng,(2019),132 min,8.5,96        ,"847,507",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
40,Trở Về Tương Lai,(1985),116 min,8.5,87        ,"1,233,342",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
41,Điệp Vụ Boston,(2006),151 min,8.5,85        ,"1,351,373",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
42,Ảo Thuật Gia Đấu Trí,(2006),130 min,8.5,66        ,"1,359,690",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
43,Léon: Sát Thủ Chuyên Nghiệp,(1994),110 min,8.5,64        ,"1,184,838",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
44,Vua Sư Tử,(1994),88 min,8.5,88        ,"1,080,966",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
45,Lời Sấm Truyền,(1979),147 min,8.5,94        ,"680,173",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
46,Nghệ Sĩ Dương Cầm,(2002),150 min,8.5,85        ,"852,321",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
47,Tâm Thần Hoảng Loạn,(1960),109 min,8.5,97        ,"685,251",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
48,Nghi Phạm Vô Hình,(1995),106 min,8.5,77        ,"1,101,520",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
49,Chuyện Tình Thế Chiến,(1942),102 min,8.5,100        ,"581,820",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
50,Lịch Sử Mĩ Thế Kỉ X,(1998),119 min,8.5,62        ,"1,140,266",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
51,Những Kẻ Bên Lề,(2011),112 min,8.5,57        ,"878,214",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,Thưở Ấy Miền Viễn Tây,(1968),165 min,8.5,82        ,"336,111",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Mộ Đom Đóm,(1988),89 min,8.5,94        ,"285,865",#44,A young boy and his little sister struggle to survive in Japan during World War II.
54,Rạp Chiếu Bóng Thiên Đường,(1988),155 min,8.5,80        ,"267,404",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
55,Vụ Án Mạng Nhà Bên,(1954),112 min,8.5,100        ,"500,460",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
56,Thời Hiện Đại,(1936),87 min,8.5,96        ,"247,525",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
57,Kaithi,(2019),145 min,8.5,****,"35,712",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
58,Ánh Sáng Đô Thị,(1931),87 min,8.5,99        ,"188,035",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
59,96,(II) (2018),158 min,8.5,****,"32,978",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
60,Avengers: Hồi Kết,(2019),181 min,8.4,78        ,"1,171,881",$858.37M,"After the devastating events of Avengers: Cuộc Chiến Vô Cực (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
61,Joker,(I) (2019),122 min,8.4,59        ,"1,344,777",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
62,Người Nhện: Vũ Trụ Mới,(2018),117 min,8.4,87        ,"557,943",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
63,Indiana Jones Và Chiếc Rương Thánh Tích,(1981),115 min,8.4,85        ,"983,207",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
64,Tên Cậu Là Gì?,(2016),106 min,8.4,79        ,"283,784",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
65,Quái Vật Không Gian 2,(1986),137 min,8.4,84        ,"730,384",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
66,Avengers: Cuộc Chiến Vô Cực,(2018),149 min,8.4,68        ,"1,115,851",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
67,Hành Trình Django,(2012),165 min,8.4,81        ,"1,592,776",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
68,Ngôi Nhà Ma,(1980),146 min,8.4,66        ,"1,045,150",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
69,Oldboy: Báo Thù,(2003),120 min,8.4,77        ,"593,725",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
70,Kỵ Sĩ Bóng Đêm Trỗi Dậy,(2012),164 min,8.4,78        ,"1,735,775",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
71,Kẻ Mất Trí Nhớ,(2000),113 min,8.4,81        ,"1,259,731",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
72,Đến Mà Xem,(1985),142 min,8.4,****,"85,036",#92,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
73,Trái Tim Dũng Cảm,(1995),178 min,8.4,68        ,"1,053,109",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
74,Trận Chiến Tàu Ngầm,(1981),149 min,8.4,86        ,"255,003",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
75,Rô-bốt Biết Yêu,(2008),98 min,8.4,95        ,"1,138,688",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
76,Coco: Hội Ngộ Diệu Kỳ,(I) (2017),105 min,8.4,81        ,"530,286",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
77,Sự Đố Kỵ Của Thiên Tài,(1984),160 min,8.4,88        ,"408,639",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
78,Khoảnh Khắc Cuộc Đời,(2006),137 min,8.4,89        ,"395,711",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
79,Capharnaüm,(2018),126 min,8.4,75        ,"94,420",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
80,Tiến Sĩ Strangelove,(1964),95 min,8.4,97        ,"499,029",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
81,Sunset Blvd.,(1950),110 min,8.4,94        ,"226,209",#59,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
82,3 Chàng Ngốc,(2009),170 min,8.4,67        ,"409,478",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
83,Nhân Chứng Buộc Tội,(1957),116 min,8.4,76        ,"128,981",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
84,Paths of Glory,(1957),88 min,8.4,90        ,"201,632",#60,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
85,Nhà Độc Tài Vĩ Đại,(1940),125 min,8.4,****,"228,039",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
86,Tengoku to jigoku,(1963),143 min,8.4,90        ,"47,477",#86,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
87,Sardar Udham,(2021),164 min,8.4,****,"43,901",%^%^%^,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
88,Asuran,(2019),141 min,8.4,****,"31,027",%^%^%^,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
89,Drishyam 2,(2021),152 min,8.4,****,"38,879",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
90,Phi Công Siêu Đẳng Maverick,(2022),130 min,8.3,78        ,"577,867",$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
91,Chàng Will Tốt Bụng,(1997),126 min,8.3,70        ,"999,109",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
92,Định Mệnh,(2009),153 min,8.3,69        ,"1,485,672",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
93,Nguyện Cầu Cho Một Giấc Mơ,(2000),102 min,8.3,71        ,"859,048",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
94,Kỳ Phùng Địch Thủ,(1995),170 min,8.3,76        ,"670,854",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
95,Ông Trùm Mặt Sẹo,(1983),170 min,8.3,65        ,"862,413",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
96,Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,(1983),131 min,8.3,58        ,"1,073,506",$309.13M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
97,Vẻ Đẹp Mỹ,(1999),122 min,8.3,84        ,"1,171,045",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
98,Cỗ Máy Tội Phạm,(1971),136 min,8.3,77        ,"845,375",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
99,Áo Giắp Sắt,(1987),116 min,8.3,78        ,"756,293",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
100,Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,(2004),108 min,8.3,89        ,"1,028,039",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
101,2001: Chuyến Du Hành Không Gian,(1968),149 min,8.3,84        ,"682,987",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
102,Cuộc Săn Lùng,(2012),115 min,8.3,77        ,"339,815",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
103,Anh Hùng Hamilton,(2020),160 min,8.3,89        ,"100,539",#107,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
104,Những Kẻ Phản Bội,(1992),99 min,8.3,81        ,"1,039,498",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
105,Câu Chuyện Đồ Chơi,(1995),81 min,8.3,96        ,"1,014,290",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
106,Quay Cuồng,(1958),128 min,8.3,100        ,"409,766",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
107,Nước Mỹ Một Thời,(1984),229 min,8.3,75        ,"359,059",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
108,Vút Bay,(2009),96 min,8.3,88        ,"1,065,408",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
109,Công Dân Kane,(1941),119 min,8.3,100        ,"449,455",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
110,Le fabuleux destin d'Amélie Poulain,(2001),122 min,8.3,69        ,"767,979",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
111,Tìm Tung Tích Mẹ,(2010),131 min,8.3,80        ,"182,992",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
112,Công Chúa Mononoke,(1997),134 min,8.3,76        ,"405,009",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
113,Giết Con Chim Nhại,(1962),129 min,8.3,88        ,"321,455",#111,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
114,Câu Chuyện Đồ Chơi 3,(2010),103 min,8.3,92        ,"852,222",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
115,The Sting,(1973),129 min,8.3,83        ,"268,861",$159.60M,Two grifters team up to pull off the ultimate con.
116,Lawrence Xứ Ả Rập,(1962),218 min,8.3,100        ,"300,213",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
117,Bắc Tây Bắc,(1959),136 min,8.3,98        ,"333,727",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
118,Thành Phố Trung Tâm,(1927),153 min,8.3,98        ,"177,781",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
119,Hát Dưới Mưa,(1952),103 min,8.3,99        ,"248,110",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
120,Cuộc Chia Ly,(2011),123 min,8.3,95        ,"248,887",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
121,Kantara,(2022),148 min,8.3,****,"94,264",%^%^%^,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
122,Dangal,(2016),161 min,8.3,****,"196,528",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
123,Căn Hộ Tình Yêu,(1960),125 min,8.3,94        ,"186,001",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
124,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,****,"161,256",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
125,Ikiru,(1952),143 min,8.3,92        ,"81,406",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
126,Tòa Án Chiến Tranh,(1961),179 min,8.3,60        ,"79,642",#134,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
127,Double Indemnity,(1944),107 min,8.3,95        ,"160,402",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
128,Cậu Bé Đặc Biệt,(2007),165 min,8.3,****,"197,403",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
129,K.G.F: Chapter 2,(2022),168 min,8.3,****,"138,911",$6.60M,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
130,Kẻ Cắp Xe Đạp,(1948),89 min,8.3,****,"167,045",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
131,Vikram,(2022),175 min,8.3,****,"63,352",%^%^%^,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
132,Ratsasan,(2018),170 min,8.3,****,"46,698",%^%^%^,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
133,Ayla: The Daughter of War,(2017),125 min,8.3,****,"41,422",%^%^%^,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl with no parents, and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
134,Đứa Trẻ,(1921),68 min,8.3,****,"128,942",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
135,Cuộc Chiến Kargil,(2021),135 min,8.3,****,"124,289",%^%^%^,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
136,Chhichhore,(2019),143 min,8.3,****,"57,403",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
137,Drishyam,(2013),160 min,8.3,****,"42,535",%^%^%^,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
138,Sát Thủ John Wick: Chương 4,(2023),169 min,8.2,78        ,"138,674",#190,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
139,Sói Già Phố Wall,(2013),180 min,8.2,75        ,"1,455,421",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
