,Movie Name,Year of Release,Watch Time (min),Genre,Movie Rating,Metascore,Votes,Gross ($M),Description
32,Goodfellas,1990,145,Biography,8.7,92        ,1187109,46.84,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
33,One Flew Over the Cuckoo's Nest,1975,133,Drama            ,8.7,84        ,1025674,112.00,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
34,Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,8.7,82        ,1316563,290.48,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
35,The Kashmir Files,2022,170,Drama            ,8.7,,564131,,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
36,Soorarai Pottru,2020,153,Action,8.7,,119222,,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
37,Who's Singin' Over There?,1980,86,Adventure,8.7,,15940,,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever."
38,Pariyerum Perumal,2018,154,Drama            ,8.7,,16727,,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
39,Toma,2021,140,Biography,8.7,,11467,,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul."
40,"Saban, Son of Saban",1977,90,Comedy,8.7,,18144,,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club ...                See full summary »"
41,Peranbu,2018,147,Drama            ,8.7,,15308,,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
42,Kibar Feyzo,1978,83,Comedy,8.7,,16740,,"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has ...                See full summary »"
43,The Broken Landlord,1985,101,Comedy,8.7,,15741,,The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.
44,Happy Days,1978,95,Comedy,8.7,,11529,,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.
45,Interstellar,2014,169,Adventure,8.6,74        ,1898683,188.02,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
46,The Silence of the Lambs,1991,118,Crime,8.6,86        ,1462399,130.74,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
47,Se7en,1995,127,Crime,8.6,65        ,1690862,100.13,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
48,Star Wars: Episode IV - A New Hope,1977,121,Action,8.6,90        ,1389027,322.74,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
49,The Green Mile,1999,189,Crime,8.6,61        ,1329939,136.80,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
50,Spirited Away,2001,125,Animation,8.6,96        ,785830,10.06,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
51,Saving Private Ryan,1998,169,Drama,8.6,91        ,1418747,216.54,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
52,Terminator 2: Judgment Day,1991,137,Action,8.6,75        ,1119595,204.84,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
53,City of God,2002,130,Crime,8.6,79        ,768780,7.56,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
