,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
21,Soorarai Pottru,2020,TV-MA,153,"Action, Drama            ",8.7,,119230,,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
22,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi            ",8.6,74        ,1899101,188.02,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
23,The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller            ",8.6,86        ,1462579,130.74,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
24,Se7en,1995,R,127,"Crime, Drama, Mystery            ",8.6,65        ,1691067,100.13,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
25,Star Wars: Episode IV - A New Hope,1977,PG,121,"Action, Adventure, Fantasy            ",8.6,90        ,1389219,322.74,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
26,The Green Mile,1999,R,189,"Crime, Drama, Fantasy            ",8.6,61        ,1330128,136.80,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
27,Spirited Away,2001,PG,125,"Animation, Adventure, Family            ",8.6,96        ,785976,10.06,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
28,Saving Private Ryan,1998,R,169,"Drama, War            ",8.6,91        ,1418898,216.54,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
29,Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi            ",8.6,75        ,1119721,204.84,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
30,City of God,2002,R,130,"Crime, Drama            ",8.6,79        ,768853,7.56,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
31,Life Is Beautiful,1997,PG-13,116,"Comedy, Drama, Romance            ",8.6,59        ,709034,57.60,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
32,Seven Samurai,1954,Not Rated,207,"Action, Drama            ",8.6,98        ,351863,0.27,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
33,It's a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy            ",8.6,89        ,470846,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Harakiri,1962,Not Rated,133,"Action, Drama, Mystery            ",8.6,85        ,60533,,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
35,Sita Ramam,2022,,163,"Action, Drama, Mystery            ",8.6,,59083,,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
36,Alien,1979,R,117,"Horror, Sci-Fi            ",8.5,89        ,900469,78.90,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
37,Whiplash,2014,R,106,"Drama, Music            ",8.5,89        ,899037,13.09,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
38,Gladiator,2000,R,155,"Action, Adventure, Drama            ",8.5,67        ,1530951,187.71,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
39,Parasite,2019,R,132,"Drama, Thriller            ",8.5,96        ,847999,53.37,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
40,Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi            ",8.5,87        ,1233701,210.61,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
41,The Departed,2006,R,151,"Crime, Drama, Thriller            ",8.5,85        ,1351675,132.38,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
42,The Prestige,2006,PG-13,130,"Drama, Mystery, Sci-Fi            ",8.5,66        ,1360008,53.09,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
43,Léon: The Professional,1994,R,110,"Action, Crime, Drama            ",8.5,64        ,1185121,19.50,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
44,The Lion King,1994,G,88,"Animation, Adventure, Drama            ",8.5,88        ,1081250,422.78,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
45,Apocalypse Now,1979,R,147,"Drama, Mystery, War            ",8.5,94        ,680290,83.47,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
46,The Pianist,2002,R,150,"Biography, Drama, Music            ",8.5,85        ,852565,32.57,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
47,Psycho,1960,R,109,"Horror, Mystery, Thriller            ",8.5,97        ,685413,32.00,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
48,The Usual Suspects,1995,R,106,"Crime, Drama, Mystery            ",8.5,77        ,1101697,23.34,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
49,Casablanca,1942,PG,102,"Drama, Romance, War            ",8.5,100        ,581930,1.02,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
50,American History X,1998,R,119,"Crime, Drama            ",8.5,62        ,1140458,6.72,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
51,The Intouchables,2011,R,112,"Biography, Comedy, Drama            ",8.5,57        ,878474,13.18,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,Once Upon a Time in the West,1968,PG-13,165,Western            ,8.5,82        ,336169,5.32,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Grave of the Fireflies,1988,Not Rated,89,"Animation, Drama, War            ",8.5,94        ,285974,,A young boy and his little sister struggle to survive in Japan during World War II.
54,Cinema Paradiso,1988,R,155,"Drama, Romance            ",8.5,80        ,267483,11.99,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
55,Rear Window,1954,PG,112,"Mystery, Thriller            ",8.5,100        ,500547,36.76,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
56,Modern Times,1936,G,87,"Comedy, Drama, Romance            ",8.5,96        ,247581,0.16,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
57,Kaithi,2019,Not Rated,145,"Action, Adventure, Crime            ",8.5,,35745,,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
